2020-03-25,1.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,2.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,4.0
2020-04-04,5.0
2020-04-05,2.0
2020-04-06,5.0
2020-04-07,4.0
2020-04-08,7.0
2020-04-09,10.0
2020-04-10,10.0
2020-04-11,3.0
2020-04-12,9.0
2020-04-13,9.0
2020-04-14,19.0
2020-04-15,16.0
2020-04-16,18.0
2020-04-17,21.0
2020-04-18,16.0
2020-04-19,21.0
2020-04-20,3.0
2020-04-21,8.0
2020-04-22,14.0
2020-04-23,27.0
2020-04-24,21.0
2020-04-25,32.0
2020-04-26,17.0
2020-04-27,16.0
2020-04-28,31.0
2020-04-29,29.0
2020-04-30,45.0
2020-05-01,51.0
2020-05-02,25.0
2020-05-03,47.0
2020-05-04,36.0
2020-05-05,65.0
2020-05-06,102.0
2020-05-07,55.0
2020-05-08,68.0
2020-05-09,88.0
2020-05-10,42.0
